ELEMENTO|TIPO|ALTO|ANCHO|LARGO|Fierro Cant.|Fierro Long|Tipo de Fierro (1/4,3/8,etc)
P1|C|16.60|0.25|1.95|12|17.92|5/8
P1|C|16.60|0.25|1.95|180|1.89|3/8
P1|E|16.60|1.00|4.40|190|1.32|3/8
P2|C|16.60|0.25|1.95|12|17.92|5/8
P2|C|16.60|0.25|1.95|180|1.89|3/8
P2|E|16.60|1.00|4.40|190|1.32|3/8
P2|C|2.80|0.25|0.75|8|3.45|1/2
P2|E|2.80|1.00|2.00|38|1.06|3/8
P3|C|19.40|0.25|1.95|12|21.30|5/8
P3|C|19.40|0.25|1.95|216|1.89|3/8
P3|E|19.40|1.00|4.40|228|1.32|3/8
P4|C|19.40|0.25|5.40|12|21.30|5/8
P4|C|19.40|0.25|5.40|216|5.34|3/8
P4|E|19.40|1.00|11.30|228|1.32|3/8
P5|C|19.40|0.25|4.05|20|21.30|5/8
P5|C|19.40|0.25|2.15|216|2.09|3/8
P5|C|19.40|0.25|1.90|216|1.84|3/8
P5|E|19.40|1.00|8.10|228|1.32|3/8
P5|E|19.40|1.00|8.10|114|1.84|3/8
P6|C|19.40|0.25|3.20|16|21.30|5/8
P6|C|19.40|0.25|3.20|216|3.15|3/8
P6|E|19.40|1.00|6.90|228|1.32|3/8
P6|E|19.40|1.00|6.90|114|1.06|3/8
P7|C|2.90|0.20|3.00|20|2.94|3/8
P7|E|2.90|1.00|6.40|0|0.00|
P7|C|11.20|0.20|12.68|18|12.60|5/8
P7|C|11.20|0.20|12.68|68|12.62|3/8
P7|E|11.20|1.00|25.76|76|1.32|3/8
P7|E|11.20|1.00|25.76|228|1.06|3/8
P7|C|2.80|0.20|12.68|18|3.50|5/8
P7|C|2.80|0.20|12.68|18|12.62|3/8
P7|E|2.80|1.00|25.76|19|1.32|3/8
P7|E|2.80|1.00|25.76|57|1.06|3/8
P8|C|2.90|0.15|1.55|8|3.60|5/8
P8|C|2.90|0.15|1.55|20|1.49|3/8
P8|E|2.90|1.00|3.40|38|0.82|3/8
P9|C|11.20|0.20|7.33|12|12.60|5/8
P9|C|11.20|0.20|7.33|12|12.60|1/2
P9|C|11.20|0.20|7.33|68|7.27|3/8
P9|E|11.20|1.00|15.06|152|1.32|3/8
P9|E|11.20|1.00|15.06|152|1.22|3/8
P9|C|2.80|0.20|12.68|12|3.50|5/8
P9|C|2.80|0.20|12.68|24|3.50|1/2
P9|C|2.80|0.20|12.68|18|12.62|3/8
P9|E|2.80|1.00|25.76|38|1.32|3/8
P9|E|2.80|1.00|25.76|76|1.22|3/8
P10|C|11.20|0.17|7.95|12|12.60|5/8
P10|C|11.20|0.17|7.95|12|12.60|1/2
P10|C|11.20|0.17|7.95|68|7.89|3/8
P10|E|11.20|1.00|16.24|152|1.16|3/8
P10|E|11.20|1.00|16.24|152|0.96|3/8
